messages,sender_labels,receiver_labels,speakers,receivers,absolute_message_index,relative_message_index,seasons,years,game_score,game_score_delta,players,game_id
"Well, this is very disappointing to me, and I obviously disagree with the way you are characterizing me and this game. 

I have a reputation in this hobby for being sincere. Not for being duplicitous. It has always served me well. 

If you feel that way, then me continuing to explain myself isn’t going to change your mind. If you don’t want to work with me, then I can understand that. Let’s consider our deals and commitments to be void, and let’s play our games separately. 

If you have any deal you’d like to propose, I’ll consider them, but I won’t continue to try to help your game if you think I’m not sincerely trying to be helpful.",False,NOANNOTATION,italy,germany,2287,305,Fall,1907,10,3,"italy, germany",1
"Well, this game just got less fun.",True,True,italy,germany,2414,306,Winter,1907,13,6,"italy, germany",1
"for you, maybe.",True,True,germany,italy,2416,307,Winter,1907,7,-6,"italy, germany",1
"Sent to Germany, England, Austria, Russia: So, England, Germany, Russia, y’all played a great turn last turn. You got me to stab my long-time ally and you ended our pretty excellent 7-year run as an alliance. Russia told me he was with me if I stab Austria. England told me he wanted me to solo so long as I would “teach him” and help his along to second place. Then y’all pulled the rug out from under me. It was clever and effective. (End Part 1)",True,True,italy,germany,2506,308,Spring,1908,13,6,"italy, germany",1
"(Part 2)
At this stage, my excitement about the game has diminished quite a bit. And of course I’m happy to play on and take my lumps for falling for “Hey, I really want you to solo, just help me place second,” but if you guys just want to call it a five-way draw among us and grab a beer together, while reviewing the statistics, that’s really my preference. 

I am outnumbered and I obviously can’t solo. And I’m sure some of you in the north are eager to send everyone else flying my way, but I expect Russia and England to be careful, and so I’m not sure there is much room to move forward without simply tipping the board to Germany’s favor. 

I propose that we draw and hug it out.🤗",False,True,italy,germany,2511,309,Spring,1908,13,6,"italy, germany",1
"I'm down for a five-way draw. 

...and by the way, England was copy-pasting to me the most incriminating messages you sent them. So I knew you were giving England my moves. I do have a certain begrudging respect for you ability to deny, though 😉",True,True,germany,italy,2516,310,Spring,1908,7,-6,"italy, germany",1
"Well, England is telling me he is happy to see me solo and wants second place...so, should I say “no”? I guess I should have. I was happy the way the game was going before all that.",True,True,italy,germany,2533,311,Spring,1908,13,6,"italy, germany",1
Don't try and pin *your* greed and deceit on England! At least *own* it when you're ruthless,True,True,germany,italy,2534,312,Spring,1908,7,-6,"italy, germany",1
"You have been given an apple laced with poison. England’s only move there was to make you hate me, and he did his job well. 

You should not let your view of me be defined by someone who has an incentive to make you never speak to me again. We can talk about it more after the game, but I had every intention of continuing to work with you, and I would have done that until England made his play.",False,True,italy,germany,2535,313,Spring,1908,13,6,"italy, germany",1
"I have no doubt you would have continued to work with me, but I take issue with someone who can be asked point-blank if they're sharing moves with another player and lie to my face. If you'd come clean, and explained how what you were doing actually *helped* me, somehow, we could have worked together. But you would rather have had me in the dark and that's not sustainable in a partnership.",True,True,germany,italy,2536,314,Spring,1908,7,-6,"italy, germany",1
"I was trying to play both sides, and England was lying to me, and forwarding my press to try to incriminate me. So, yes, I lied, and so did England. I apologize.",True,True,italy,germany,2537,315,Spring,1908,13,6,"italy, germany",1
"Will you please either vote to draw, or let us know that you’d like to play this one out? I am finding it difficult to motivate myself to speak with anyone if the game is just going to draw shortly. Thoughts?",False,True,italy,germany,2546,316,Fall,1908,13,6,"italy, germany",1
I did vote to 5-way draw! And I did so again for this season. So it’s not me who’s keeping this game alive,True,True,germany,italy,2550,317,Fall,1908,7,-6,"italy, germany",1
"Well, as we approach the end of the academic study portion of the game, let me say once, with the truth detector activated, that I really enjoyed playing with you and thought you played really well.",True,True,italy,germany,2612,318,Spring,1910,14,7,"italy, germany",1
Was it really your first game? You definitely played like a seasoned vet.,True,True,italy,germany,2613,319,Spring,1910,14,7,"italy, germany",1
"I really enjoyed playing with you, too! And yes, it really was my first game. Thanks for all your help and advice",True,True,germany,italy,2614,320,Spring,1910,7,-7,"italy, germany",1
"Hello there! What's your general plan for this game? My inclination when I play Austria is to piss off as few people as possible, so I don't plan on making any overtly aggressive moves this turn.",True,True,austria,italy,1,0,Spring,1901,3,0,"italy, austria",1
"Hi Austria. Nice to meet you, and looking forward to playing as your neighbor. 

Hmmmm, I hate playing as Italy. I rarely succeed. Frankly, I’ve recently tried early attacks on Austria, as Italy, AND IT KEEPS TURNING OUT POORLY. I’d really like to play this one as a tight-knit Central Trio if you have any appetite for that. Not sure if I should set up a Lepanto or go west, but I’d be happy to hear your thoughts on it.",False,True,italy,austria,67,1,Spring,1901,3,0,"italy, austria",1
"That sounds good to me. I think probably what would work best is if you and Germany go west while Turkey and I contain and/or eat Russia, then once I've picked up some Russian dots and gotten some good position, you split your fleets to help me take Turkey and help Germany take England.",True,True,austria,italy,71,2,Spring,1901,3,0,"italy, austria",1
I like that. Let me talk it over with Germany.,False,True,italy,austria,73,3,Spring,1901,3,0,"italy, austria",1
I’m not sure whether Germany is keen on attacking France. Perhaps you and I should focus on Turkey?,True,True,italy,austria,98,4,Spring,1901,3,0,"italy, austria",1
"Yeah, honestly, the more I think about it, the more I think it'll just be easier to wipe turkey off the map really quickly. I've done it in tourneys a few times before and it just makes everything simpler.",True,NOANNOTATION,austria,italy,99,5,Spring,1901,3,0,"italy, austria",1
👌 So I’ll open as a standard Lepanto. Sounds good.,True,True,italy,austria,101,6,Spring,1901,3,0,"italy, austria",1
"Nice start!

Really glad to see Turkey open north, and glad to see that you were true to your word with me. I feel like we’re in a really strong position to control the East!

What are you thinking?",True,True,italy,austria,179,7,Fall,1901,3,0,"italy, austria",1
"Yep! Good start, now we've just gotta follow through properly.",True,True,austria,italy,181,8,Fall,1901,3,0,"italy, austria",1
"So, do I just convoy my army to Tunis?

Also, do you want me to bounce you in Trieste?",True,NOANNOTATION,italy,austria,185,9,Fall,1901,3,0,"italy, austria",1
"Sure, Trieste bounce is a good idea. And yeah, standard Lepanto with the convoy.",True,True,austria,italy,187,10,Fall,1901,3,0,"italy, austria",1
So...how shall we go about this? I’m kind of thinking that you and I should eat some Turkey.,True,True,italy,austria,360,11,Spring,1902,4,-1,"italy, austria",1
"That's exactly what I'm thinking. I'm going to send Greece into the Aegean, you send Ionian into Eastern Med.",True,True,austria,italy,362,12,Spring,1902,5,1,"italy, austria",1
"Okay. Cool! Do you mind if I take Greece this year while you take Bulgaria? That will keep us even, and should be guaranteed. I can just convoy an army to Greece in Spring while you move to Aegean, and I can support you to Bulgaria in the Fall. This also means you don’t have to rotate your armies all the way to Greece, which will allow you to mobilize against Russia faster when the time comes. 

Thoughts?",True,True,italy,austria,370,13,Spring,1902,4,-1,"italy, austria",1
Any thoughts on this idea?,True,True,italy,austria,380,14,Spring,1902,4,-1,"italy, austria",1
I am going to send my fleet over to Eastern Med and we can work this out next turn.,True,True,italy,austria,423,15,Spring,1902,4,-1,"italy, austria",1
"Sorry about that, today got a little nuts. Figuring it out next turn is probably the best call, once we see what's worked and what hasn't.",True,True,austria,italy,427,16,Spring,1902,5,1,"italy, austria",1
"Okay, thank you for being true to your word. 

I think we’re in great shape. My major concern on the board right now is E/F, which is likely going to take down Germany quickly and become a major force. 

It is really important to me to get a build here so that I can try to keep France in check a bit. Will you agree that You get Bulgaria, I get Greece, and we can move forward with both of us at 5?

I really think that the two of us can dominate this game if we keep working together.",True,True,italy,austria,457,17,Spring,1902,4,-1,"italy, austria",1
"Yep, I'm just fine with that.",True,True,austria,italy,459,18,Spring,1902,5,1,"italy, austria",1
"Great!

I will convoy Tunis to Greece. If you can support that move, that would be great. And it looks like you’ll have no problem supporting Greece to Bulgaria.",True,True,italy,austria,461,19,Spring,1902,4,-1,"italy, austria",1
"I'll have a more direct response once the retreats are all resolved and I'm not extrapolating what the board state will probably be, but that seems eminently doable.",True,True,austria,italy,463,20,Spring,1902,5,1,"italy, austria",1
How’s it looking over there?,True,True,italy,austria,494,21,Fall,1902,4,-1,"italy, austria",1
"Looking solid! I don't think we actually need to coordinate all that much, we're in a really good position.",True,True,austria,italy,495,22,Fall,1902,5,1,"italy, austria",1
"Just to be clear, should I expect Greece will be open?",True,True,italy,austria,496,23,Fall,1902,4,-1,"italy, austria",1
"Yep, it will be. I'll want it back eventually, but for now it's yours.",True,True,austria,italy,497,24,Fall,1902,5,1,"italy, austria",1
"You, sir, are a terrific ally. This was more than you needed to do, but makes me feel like this is really a long term thing! Thank you.",False,True,italy,austria,553,25,Winter,1902,5,0,"italy, austria",1
"We can do great things together, long term. I figured a down-payment now against that great future would be worth it.",True,True,austria,italy,554,26,Winter,1902,5,0,"italy, austria",1
"Plus, you ever try digging out a talented Italy as Austria? It's a pain in the fuckin neck! :P",True,True,austria,italy,555,27,Winter,1902,5,0,"italy, austria",1
🤗,True,True,italy,austria,556,28,Winter,1902,5,0,"italy, austria",1
"Yeah, let’s just work together. Should be a good one for both of us.",False,True,italy,austria,557,29,Winter,1902,5,0,"italy, austria",1
What should I build? I’m pretty undecided and would be willing to let you choose.,True,True,italy,austria,558,30,Winter,1902,5,0,"italy, austria",1
"I think probably a fleet will serve you best, in terms of flexibility. We've got Turkey, he's doomed by numbers, so you want to start thinking France.",True,True,austria,italy,559,31,Winter,1902,5,0,"italy, austria",1
👌,True,True,italy,austria,560,32,Winter,1902,5,0,"italy, austria",1
"Okay, how would you like to approach this turn? I’m at your disposal.",False,True,italy,austria,577,33,Spring,1903,5,0,"italy, austria",1
"I think what we do is, AEG convoys GRE-SMY with support from EAS while BUL taps CON",True,True,austria,italy,579,34,Spring,1903,5,0,"italy, austria",1
"That's just an initial thought, though - if you have a better idea I'm all ears",True,True,austria,italy,580,35,Spring,1903,5,0,"italy, austria",1
"My concern there is that Arm doesn’t have much to do other than support Smyrna, and I don’t know if we want to rely on Russia helping. I think he has a serious incentive to prevent us from succeeding too quickly against Turkey.",False,True,italy,austria,581,36,Spring,1903,5,0,"italy, austria",1
"Very good point. Perhaps you tap SMY with EAS and I use AEG to support BUL-CON, with the intention of then doing the convoy in the fall?",True,True,austria,italy,582,37,Spring,1903,5,0,"italy, austria",1
"What do you think of Aegean support Bul to Con while I cut support in Smy? That is guaranteed so long as Russia does not support Con back to Bul (unlikely), and we don’t have to tell Russia the complete plan.",True,True,italy,austria,583,38,Spring,1903,5,0,"italy, austria",1
"Yes, we xposted, but we are thinking the same way.",False,NOANNOTATION,italy,austria,584,39,Spring,1903,5,0,"italy, austria",1
"Well it appears our messages passed each other in the internet's series of tubes, but, great minds, etc etc",True,True,austria,italy,585,40,Spring,1903,5,0,"italy, austria",1
Good. Consider it done.,False,NOANNOTATION,italy,austria,586,41,Spring,1903,5,0,"italy, austria",1
"I’m thinking about sending an army over to Piedmont to keep France honest. Do you think that is a good idea or a terrible idea? I just want to avoid a stampede over Germany, and I feel like forcing him to use an army in Marseilles to bounce with me is worth dedicating one army from me. But I don’t want to antagonize I’ve him either. I keep going back and forth about it. What do you think?",False,True,italy,austria,588,42,Spring,1903,5,0,"italy, austria",1
"I think probably we give France one season to see what they do. England build F LON and France built F BRE, which is something we should keep an eye on before moving.",True,True,austria,italy,590,43,Spring,1903,5,0,"italy, austria",1
"Okay. If he does say anything to you about moving towards me, would you please let me know? I feel like he’s in an awfully strong position, and it makes me nervous.",False,True,italy,austria,592,44,Spring,1903,5,0,"italy, austria",1
"You'll be the first to know. Man, isn't this game simpler when you're being honest?",True,True,austria,italy,593,45,Spring,1903,5,0,"italy, austria",1
👍,True,True,italy,austria,600,46,Spring,1903,5,0,"italy, austria",1
"France says they're getting radio silence from England, which is probably good news for us.",True,True,austria,italy,608,47,Spring,1903,5,0,"italy, austria",1
"Russia says you're trying to get him to attack me, heh",True,True,austria,italy,633,48,Spring,1903,5,0,"italy, austria",1
"That sounds like the kind of thing Russia would say. 

I have generally told Russia that I am not close with you and I’d be willing to attack you, but I’ve never “tried to get him to attack you. That is a complete 👎. 

Our alliance seems to be the one trusting alliance in the game. Everyone is going to try to break us up. We need to prevent it.",True,True,italy,austria,634,49,Spring,1903,5,0,"italy, austria",1
That's about what I figured. Wanted to let you know it was being tried.,True,True,austria,italy,635,50,Spring,1903,5,0,"italy, austria",1
"Also, England is extremely unhappy with France.",True,True,austria,italy,636,51,Spring,1903,5,0,"italy, austria",1
"Yeah, sounds like England is attacking France. That’s good for us. We seem to be the only alliance that has its act together.",True,True,italy,austria,639,52,Spring,1903,5,0,"italy, austria",1
"Which can mean only profit for us, as long as we stick together.",True,True,austria,italy,640,53,Spring,1903,5,0,"italy, austria",1
"Word. 

Listen, I’m an alliance player. That’s how I’ve always been. I think it’s the only way to play. I don’t like to shift around. I like a close working relationship with a partner. That’s what we have, and that’s what I plan to stick with as long as you’ll have me.",True,True,italy,austria,643,54,Spring,1903,5,0,"italy, austria",1
"'til death or end of beta do us part, then 😛",True,False,austria,italy,644,55,Spring,1903,5,0,"italy, austria",1
"That said, I don’t want anyone else to know that. So if people ask, I’ll tell them that I’d be happy to attack you.",True,True,italy,austria,645,56,Spring,1903,5,0,"italy, austria",1
"Oh naturally, I'll bullshit the hell outta everyone else.",True,True,austria,italy,646,57,Spring,1903,5,0,"italy, austria",1
Sooooooooo. Tyrolia?,True,NOANNOTATION,austria,italy,648,58,Spring,1903,5,0,"italy, austria",1
Test,True,NOANNOTATION,austria,italy,649,59,Spring,1903,5,0,"italy, austria",1
"You don’t like it? I figured it was the same as Venice. If I wanted to attack you, I could have just moved to Trieste any time. 

My purpose in Tyrolia is to keep Munich black. I’m just going to support Munich holding. I don’t want Germany to get trampled.",False,NOANNOTATION,italy,austria,650,60,Spring,1903,5,0,"italy, austria",1
"I'd have preferred a heads-up, is all.",True,NOANNOTATION,austria,italy,652,61,Fall,1903,5,0,"italy, austria",1
"So, we going with the same plan? I convoy Greece over to Smyrna?",True,True,austria,italy,666,62,Fall,1903,5,0,"italy, austria",1
Sorry — I’ve been slammed all day. Just looking at this again now.,True,True,italy,austria,691,63,Fall,1903,5,0,"italy, austria",1
"Okay, I’m so sorry. I got distracted again. Yes! I will order GRE to SMY, EAS S GRE to SMY, TYR S MUN holding. 

Will you allow me a build this turn or do you plan on retaking Greece now?",False,True,italy,austria,697,64,Fall,1903,5,0,"italy, austria",1
Sounds good to me.,True,False,austria,italy,698,65,Fall,1903,5,0,"italy, austria",1
"Any word on Greece?

Basically, if I get a build this turn I can turn around and smash France. If I don’t, that will be a more tepid attack.",False,True,italy,austria,701,66,Fall,1903,5,0,"italy, austria",1
"I've got no need to immediately take it, since I'm picking up Con.",True,True,austria,italy,702,67,Fall,1903,5,0,"italy, austria",1
Okay. Thank you. 😊,True,True,italy,austria,703,68,Fall,1903,5,0,"italy, austria",1
"Hey, by the way, I am going to be candid here: I have thought about attacking you. I really have. But I have recently arrived at the conclusion that this would be a poor path forward. I’m not going to do it. 

I’ll move on France now. That will give you the peace of mind to know that my units will be occupied and far from you.",True,True,italy,austria,708,69,Fall,1903,5,0,"italy, austria",1
"Glad to hear, yep!",True,True,austria,italy,709,70,Fall,1903,5,0,"italy, austria",1
"Let’s just keep right on working together, and press our advantage b",True,True,italy,austria,710,71,Fall,1903,5,0,"italy, austria",1
I suggest you move Alb to Ser and prepare to attack Russia in Spring.,True,True,italy,austria,711,72,Fall,1903,5,0,"italy, austria",1
"You can have Ank, but I really do think it makes sense that I keep Greece. Ending up with 2 centers from Turkey/Balkans seems fair, with you getting everything else, yes?",True,True,italy,austria,713,73,Fall,1903,5,0,"italy, austria",1
"Yeah, I think I can live with that.",True,True,austria,italy,716,74,Fall,1903,5,0,"italy, austria",1
"Sorry it took me a moment to respond, it's the MLB home run derby tonight",True,True,austria,italy,717,75,Fall,1903,5,0,"italy, austria",1
"Well that, I can understand.",True,True,italy,austria,719,76,Fall,1903,5,0,"italy, austria",1
"Look, like I said, I was wavering a bit, especially during the long weekend. But, I’ve taken a close look, and I just think that this alliance has unique staying power. I really do. We both have room to grow. Now that England attacked France, there isn’t really anyone who can stop us. This can work long term, and work well.",True,True,italy,austria,720,77,Fall,1903,5,0,"italy, austria",1
I wholeheartedly agree. Neither of us benefits from attacking the other.,True,True,austria,italy,721,78,Fall,1903,5,0,"italy, austria",1
"So, This one seems easy. I’ll support you to Ankara, and you are guaranteed either Ankara or Rumania:

Con - Ank
Smy S Con - Ank
Age - Con
EAS S Smy holding
Ven - Pie
Tyr S Mun holding
TYS - LYO
Tun - WES
Ser - Rum
Bul S Ser - Rum
Bud S Ser - Rum
Vie - Gal

Sound right?",True,NOANNOTATION,italy,austria,815,79,Spring,1904,6,0,"italy, austria",1
"I had already entered every single one of those orders, except for AEG-CON, which is in now. It's nice being on the same page, isn't it?",True,True,austria,italy,841,80,Spring,1904,6,0,"italy, austria",1
👍,True,True,italy,austria,853,81,Spring,1904,6,0,"italy, austria",1
"I kind of figured. It’s a pretty straight-forward move for both of us, and likely gains for both of us. This alliance is in a really healthy place.",True,True,italy,austria,855,82,Spring,1904,6,0,"italy, austria",1
"So, I assume you're going to support Ank to hold?",True,True,austria,italy,908,83,Fall,1904,6,0,"italy, austria",1
"Also, fyi, I'm in transit to SkyCon out in Montana, so I might not be the most communicative gent this weekend.",True,True,austria,italy,909,84,Fall,1904,6,0,"italy, austria",1
"Hi Austria. I apologize for the delay. Quite a busy day for me yesterday. 

I have no problem supporting Ank to hold.",True,NOANNOTATION,italy,austria,943,85,Fall,1904,6,0,"italy, austria",1
"I also want to say — looks like that support ensures you get two builds. My own attack on France is not quite so successful. Do you mind if I borrow Trieste this turn to stay even with you and keep my momentum going west. I’ll place another fleet with it, which further locks me in moving away from you. I think that’s actually quite good for you, but I know some players get prickly about home centers.",True,True,italy,austria,944,86,Fall,1904,6,0,"italy, austria",1
"A dot is a dot is a dot. It's better for the long term health of the alliance, and I'm still building one. More importantly, your best/easiest route to growth still lies in France, not with me, so I don't see you having a ton of incentive to go after me. Go for it.",True,True,austria,italy,961,87,Fall,1904,6,0,"italy, austria",1
"OMG. 😮 You are my favorite ally of all time. This just happened. You just past the threshold. It used to be this guy who was playing France to my England. Funny dude. Great stories. But he never sacrificed a home center in the interest of parity. 

You are a rare gem.",True,True,italy,austria,962,88,Fall,1904,6,0,"italy, austria",1
Do you think 17-17 is an okay result for a beta test?,False,True,italy,austria,963,89,Fall,1904,6,0,"italy, austria",1
I feel like I can’t stab you now. So I’d like to simply crush the board with you.,False,True,italy,austria,964,90,Fall,1904,6,0,"italy, austria",1
"I've never said no to 17/17, lol",True,True,austria,italy,969,91,Fall,1904,6,0,"italy, austria",1
What's your planned build?,True,True,austria,italy,1021,92,Winter,1904,7,0,"italy, austria",1
F Nap. Sound good?,True,True,italy,austria,1034,93,Winter,1904,7,0,"italy, austria",1
"Yeah, Naples makes it look like we might actually be fighting, go for it.",True,True,austria,italy,1047,94,Winter,1904,7,0,"italy, austria",1
"Well, I hope you had a nice weekend. Do you think we have much to discuss here? Is there anything you’d like me to do with my three eastern units? Do you want me to pretend to fight you, or shall I just move away or hold still? I don’t really have any idea what I should be doing.",True,True,italy,austria,1109,95,Spring,1905,7,0,"italy, austria",1
"My weekend was great! I placed 8th at SkyCon, which was a disproportionately talented tourney, so I'm feeling quite good about myself. I'd like your army in Smyrna to support my move from Ankara to Armenia, but other than that, I see no point in pretending to fight each other, so I figure you might as well move stuff west to take care of your new main front.",True,True,austria,italy,1115,96,Spring,1905,7,0,"italy, austria",1
"Okay, that works for me.",True,True,italy,austria,1117,97,Spring,1905,7,0,"italy, austria",1
"Do you want me to move Eastern Med to Aegean? If your move to Armenia works (likely), you may want to use my fleet to bounce with you at Con to keep The Russian fleet out. But totally up to you. I don’t care either way.",True,True,italy,austria,1181,98,Spring,1905,7,0,"italy, austria",1
"Right now I've just got my fleet in Con tapping Black, so it'll probably stay full. Get the fleet where it can help with France.",True,True,austria,italy,1183,99,Spring,1905,7,0,"italy, austria",1
Thoughts on where we go from here?,True,True,italy,austria,1242,100,Fall,1905,7,0,"italy, austria",1
My units are at your disposal.,True,True,italy,austria,1243,101,Fall,1905,7,0,"italy, austria",1
"I think the best way to take Rum would look like this:
Bul - Rum
Ser and Bud S Bul - Rum
Con - Bul (EC)
Arm and Smy bounce in Ank
Tyr and Gal bounce in Vienna
 (Anticipating that Black Sea will likely move to Bul to cut support)",True,True,italy,austria,1244,102,Fall,1905,7,0,"italy, austria",1
Everything still okay?,True,True,italy,austria,1252,103,Fall,1905,7,0,"italy, austria",1
"I like it, yeah, let's do that.",True,True,austria,italy,1271,104,Fall,1905,7,0,"italy, austria",1
"Folks are trying to pry us apart, but their arguments aren't making a ton of sense.",True,True,austria,italy,1272,105,Fall,1905,7,0,"italy, austria",1
"Yeah, I’m getting the same treatment. 

If we stay together, we win together.",True,True,italy,austria,1275,106,Fall,1905,7,0,"italy, austria",1
Argh! I KNEW Black Sea would try for Bulgaria!!! Shoot!,True,True,italy,austria,1347,107,Fall,1905,7,0,"italy, austria",1
My wife says I am bossy and uniquely inflexible. I don’t want you to feel that way too! How shall we approach this next turn? I think we need to put in a good set of orders here to turn the tide against Russia.,True,True,italy,austria,1412,108,Spring,1906,8,2,"italy, austria",1
"Here's what I've got right now: 
A Arm - Sev
F BLA - Con
A Bud S Gal - Rum
A Gal - Rum
A Rum - Bul
A Ser S Rum - Bul",True,True,austria,italy,1413,109,Spring,1906,6,-2,"italy, austria",1
"I figure if you bounce me in Con, that piffs the Russian fleet.",True,True,austria,italy,1414,110,Spring,1906,6,-2,"italy, austria",1
"Yeah, not bad. The danger is in Rumania. Are you thinking Gal - Ukr, Bud - Rum? Shall I order Tyr - Vie?

I think that is likely best as it keeps Russia out of your centers for sure, and it should easy to support me out in the Fall once Russia has one less unit.",True,True,italy,austria,1415,111,Spring,1906,8,2,"italy, austria",1
"Yep, that seems like the best course of action.",True,True,austria,italy,1416,112,Spring,1906,6,-2,"italy, austria",1
"So look, I’m at your disposal in the east. I think the best bet may be for you to support me from Vienna to Galicia, but I’m willing to do something else if you like something else better.",True,True,italy,austria,1562,113,Fall,1906,8,2,"italy, austria",1
"Frankly, if I were you, I’d be worried about a stab from Italy here. 🤭 But I’m not going to do that. You e been extremely good to me. And it would be a very bad time for me to begin a war in the east while all my units are west. So you’re stuck with me as an ally.",True,True,italy,austria,1564,114,Fall,1906,8,2,"italy, austria",1
"Yep, that all checks out, and I was thinking Vie-Gal was the best call, so let's make that happen.",True,True,austria,italy,1566,115,Fall,1906,6,-2,"italy, austria",1
Well that is damn annoying. I’m surprised he tried for Vienna — would have thought he would go for Rumania.,False,True,italy,austria,1750,116,Winter,1906,10,4,"italy, austria",1
"I do think that we can guarantee you Sev this year, which should finally crack this nut.",False,True,italy,austria,1751,117,Winter,1906,10,4,"italy, austria",1
"Yeah. I'd also like to address the center imbalance a bit more directly - as you pick up dots in the west, I'd like to start picking Greece, Vienna, and Ankara back up.",True,True,austria,italy,1754,118,Winter,1906,6,-4,"italy, austria",1
"Er, Smyrna, not Ankara.",True,True,austria,italy,1756,119,Winter,1906,6,-4,"italy, austria",1
Totally agree.,True,True,italy,austria,1757,120,Winter,1906,10,4,"italy, austria",1
"Yes, we need to take that in swiftly. Let’s see what the builds look like and make a plan.",False,True,italy,austria,1758,121,Winter,1906,10,4,"italy, austria",1
"Hi Austria — So, this is a big turn for us. I am absolutely committed to getting you a build. I wish we could get you more than one, but unfortunately the fact that you lost Vienna last turn makes that impossible. 

So, it seems to me that the most important way to get you a build is to take Galicia in Spring. I don’t care if I move there, or you move there, but we need to make some room around Budapest so that you can build there.",False,True,italy,austria,1768,122,Spring,1907,10,4,"italy, austria",1
"Yeah, I'd appreciate your support from Bud-Gal.",True,True,austria,italy,1769,123,Spring,1907,6,-4,"italy, austria",1
"Maybe something like this:
Bud - Gal
Vie S Bud - Gal
Rum - Sev
BLS S Rum - Sev
Arm S Rum - Sev
Bul - Rum
Ser - Bud

If the move to Gal does not work, and you don’t get Sev, then in Fall you can order Bud - Tri while Vie and Ser bounce in Bud to ensure you get a build.",False,True,italy,austria,1770,124,Spring,1907,10,4,"italy, austria",1
Oh yeah that looks better than what I had in mind. Let's roll with that.,True,True,austria,italy,1772,125,Spring,1907,6,-4,"italy, austria",1
👍,True,NOANNOTATION,italy,austria,1774,126,Spring,1907,10,4,"italy, austria",1
"One tweak: I am worried that Russia could take Rumania with the move set I proposed. You can prevent that by having Serbia support Bul - Rum. I think that’s better than Ser - Bud, and it makes sense because you want Bud open after the Fall anyway. That should mean that you won’t lose any ground this turn, and you’ll likely take Sev.",True,True,italy,austria,1791,127,Spring,1907,10,4,"italy, austria",1
"Oh yeah, good tweak, makes sense. So ordered.",True,True,austria,italy,1794,128,Spring,1907,6,-4,"italy, austria",1
"Hey — man, Russia keeps guessing correctly. I am sincerely sorry that that move did not work. 

Thoughts on what to do this turn? I wish England or Germany would pick off a Russia. Center in the north, but they seem content to let Russia put up his road block.",False,True,italy,austria,2068,129,Fall,1907,10,4,"italy, austria",1
"Use Tyrolia to tap Bohemia, Vienna supports Budapest to Galicia, and Rumania taps Ukraine. Unless Bohemia goes to Vienna, that guarantees a move to Galicia.",True,True,austria,italy,2069,130,Fall,1907,6,-4,"italy, austria",1
"Also, for my comfort, do you mind if I pick Trieste back up?",True,True,austria,italy,2071,131,Fall,1907,6,-4,"italy, austria",1
"I like that. I was thinking that you would move Bud back to Tri, but this is much better. It keeps forward momentum. And yes, you should take back Tri now. That will make builds easier as we move forward.",False,True,italy,austria,2073,132,Fall,1907,10,4,"italy, austria",1
"Also, actually, I don't have anything for Bulgaria to do, and you're guaranteed two dots this turn. Can I take Greece back too? I can bank a build for the future regardless of what happens, and you stay even. You don't really need a build right now.",True,True,austria,italy,2076,133,Fall,1907,6,-4,"italy, austria",1
"Hmmm. I’m cool with you taking Trieste. I’m not sure that taking Greece now is the right move. 

In the West, I will take Liverpool, but not Portugal. I need to use my Spanish fleet to support MAO so that I can convoy an army to Liverpool. And I’m just in no hurry to take out France. So if you take Greece, you would be taking an Italian unit off the board and not building one yourself.",False,True,italy,austria,2077,134,Fall,1907,10,4,"italy, austria",1
"Also, seems like there is plenty of risk that Russia could try for Rumania. Why not use Bulg to support Rum, while having Rum and BLS Support Arm to Sev?",False,True,italy,austria,2078,135,Fall,1907,10,4,"italy, austria",1
"All that said, if you feel like you need to take two from me this turn in order to keep working with me, I can live with that.",False,True,italy,austria,2079,136,Fall,1907,10,4,"italy, austria",1
The alliance is much more important to me than the dot.,False,True,italy,austria,2080,137,Fall,1907,10,4,"italy, austria",1
I'll take another look at it and get back to you.,True,True,austria,italy,2179,138,Fall,1907,6,-4,"italy, austria",1
"Oh man. I’m getting a lot of hate mail out west. Not fun. I think Germany has a pretty low opinion of me, and it sounds like she and Russia are developing a bit of a romance. 

I am totally cool with you taking back Trieste this turn, and I am thankful that you loaned it to me in the first place. But I’d prefer if you wait to take Greece until you can actually use the build. It would make things quite a bit tougher for me if I have to take a unit off the board especially if we don’t get an extra unit in the east to compensate.",False,True,italy,austria,2293,139,Fall,1907,10,4,"italy, austria",1
"Yeah, if you're not picking up Portugal, then I'll let Greece be.",True,NOANNOTATION,austria,italy,2295,140,Fall,1907,6,-4,"italy, austria",1
"Argh. I blew it!

I’m sorry. You were a terrific ally. I misread the board and thought that I had a clear solo run. England basically told me that he was going to help me solo, so I felt like I ought to just go for it. He bamboozled me, and for me to stab you. It was a mistake. My sincerest apologies.",False,True,italy,austria,2390,141,Winter,1907,13,10,"italy, austria",1
"I mean, I'm gonna have to fight you for at least a little bit. We'll see what happens.",True,True,austria,italy,2446,142,Winter,1907,3,-10,"italy, austria",1
"Yeah, I get that. It makes me sick because it’s likely that you’ll just get squeezed between me and Russia. Fighting me is not really a path toward viability for you, and that’s my fault. 

I’m sorry this happened. I really am. I misjudged the situation and I fear I’ve ruined both our games. If you can stick around and insist on getting some of the fruits of smashing me and not letting Russia get them all, that would be justice.",False,True,italy,austria,2451,143,Winter,1907,13,10,"italy, austria",1
